city,city_code,state,state_code,region,region_code,flag_geography
Anchorage,anchorage,Alaska,1,"Anchorage, AK",743,1
Anderson,anderson,Alaska,1,"Fairbanks, AK",745,1
Angoon,angoon,Alaska,1,"Juneau, AK",747,1
Atqasuk,atqasuk,Alaska,1,"Fairbanks, AK",745,1
Barrow,barrow,Alaska,1,"Fairbanks, AK",745,1
Bethel,bethel,Alaska,1,"Anchorage, AK",743,1
Clear,clear,Alaska,1,"Fairbanks, AK",745,1
Cordova,cordova,Alaska,1,"Anchorage, AK",743,1
Craig,craig,Alaska,1,"Juneau, AK",747,1
Delta Junction,delta junction,Alaska,1,"Fairbanks, AK",745,1
Dillingham,dillingham,Alaska,1,"Anchorage, AK",743,1
Eagle River,eagle river,Alaska,1,"Anchorage, AK",743,1
Eielson Air Force Base,eielson air force base,Alaska,1,"Fairbanks, AK",745,1
Elmendorf Air Force Base,elmendorf air force base,Alaska,1,"Anchorage, AK",743,1
Fairbanks,fairbanks,Alaska,1,"Fairbanks, AK",745,1
Galena,galena,Alaska,1,"Fairbanks, AK",745,1
Glennallen,glennallen,Alaska,1,"Anchorage, AK",743,1
Gustavus,gustavus,Alaska,1,"Juneau, AK",747,1
Haines,haines,Alaska,1,"Juneau, AK",747,1
Healy,healy,Alaska,1,"Fairbanks, AK",745,1
Homer,homer,Alaska,1,"Anchorage, AK",743,1
Hoonah,hoonah,Alaska,1,"Juneau, AK",747,1
Juneau,juneau,Alaska,1,"Juneau, AK",747,1
Kenai,kenai,Alaska,1,"Anchorage, AK",743,1
Ketchikan,ketchikan,Alaska,1,"Juneau, AK",747,1
Klawock,klawock,Alaska,1,"Juneau, AK",747,1
Kodiak,kodiak,Alaska,1,"Anchorage, AK",743,1
Kotzebue,kotzebue,Alaska,1,"Fairbanks, AK",745,1
McGrath,mcgrath,Alaska,1,"Fairbanks, AK",745,1
Metlakatla,metlakatla,Alaska,1,"Juneau, AK",747,1
Mountain Village,mountain village,Alaska,1,"Anchorage, AK",743,1
Nikiski,nikiski,Alaska,1,"Anchorage, AK",743,1
Nome,nome,Alaska,1,"Fairbanks, AK",745,1
North Pole,north pole,Alaska,1,"Fairbanks, AK",745,1
Palmer,palmer,Alaska,1,"Anchorage, AK",743,1
Pelican,pelican,Alaska,1,"Juneau, AK",747,1
Petersburg,petersburg,Alaska,1,"Juneau, AK",747,1
Port Lions,port lions,Alaska,1,"Anchorage, AK",743,1
Seward,seward,Alaska,1,"Anchorage, AK",743,1
Sitka,sitka,Alaska,1,"Juneau, AK",747,1
Skagway,skagway,Alaska,1,"Juneau, AK",747,1
Soldotna,soldotna,Alaska,1,"Anchorage, AK",743,1
Tanacross,tanacross,Alaska,1,"Fairbanks, AK",745,1
Thorne Bay,thorne bay,Alaska,1,"Juneau, AK",747,1
Tok,tok,Alaska,1,"Fairbanks, AK",745,1
Tununak,tununak,Alaska,1,"Anchorage, AK",743,0
Unalaska,unalaska,Alaska,1,"Anchorage, AK",743,0
Valdez,valdez,Alaska,1,"Anchorage, AK",743,0
Wasilla,wasilla,Alaska,1,"Anchorage, AK",743,0
Whittier,whittier,Alaska,1,"Anchorage, AK",743,0
Wrangell,wrangell,Alaska,1,"Juneau, AK",747,0
Yakutat,yakutat,Alaska,1,"Juneau, AK",747,0
College,college,Alaska,1,"Fairbanks, AK",745,0
Knik-Fairview,knik-fairview,Alaska,1,"Anchorage, AK",743,0
Kongiganak,kongiganak,Alaska,1,"Anchorage, AK",743,0
Point MacKenzie,point mackenzie,Alaska,1,"Anchorage, AK",743,0
Abbeville,abbeville,Alabama,2,"Dothan, AL",606,0
Adamsville,adamsville,Alabama,2,"Birmingham, AL",630,0
Addison,addison,Alabama,2,"Birmingham, AL",630,0
Adger,adger,Alabama,2,"Birmingham, AL",630,0
Alabaster,alabaster,Alabama,2,"Birmingham, AL",630,0
Albertville,albertville,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Alexander City,alexander city,Alabama,2,"Montgomery (Selma), AL",698,0
Alexandria,alexandria,Alabama,2,"Birmingham, AL",630,0
Allgood,allgood,Alabama,2,"Birmingham, AL",630,0
Alpine,alpine,Alabama,2,"Birmingham, AL",630,0
Andalusia,andalusia,Alabama,2,"Montgomery (Selma), AL",698,0
Anniston,anniston,Alabama,2,"Birmingham, AL",630,0
Arab,arab,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Arlington,arlington,Alabama,2,"Montgomery (Selma), AL",698,0
Ashford,ashford,Alabama,2,"Dothan, AL",606,0
Ashland,ashland,Alabama,2,"Birmingham, AL",630,0
Ashville,ashville,Alabama,2,"Birmingham, AL",630,0
Athens,athens,Alabama,2,"Huntsville-Decatur (Florence), AL",691,0
Atmore,atmore,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Attalla,attalla,Alabama,2,"Birmingham, AL",630,0
Auburn,auburn,Alabama,2,"Columbus, GA",522,0
Autaugaville,autaugaville,Alabama,2,"Montgomery (Selma), AL",698,0
Axis,axis,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
Bay Minette,bay minette,Alabama,2,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686,0
