region,units sold
"Anchorage, AK",10000
"Fairbanks, AK",0
"Juneau, AK",0
"Memphis, TN",0
"Little Rock-Pine Bluff, AR",0
"Ft. Smith-Fayetteville-Springdale-Rogers, AR",0
"Springfield, MO",50000
"Shreveport, LA",0
"Jonesboro, AR",0
"Monroe, LA-El Dorado, AR",0
"Tucson (Sierra Vista), AZ",90000
"Phoenix, AZ",200000
"Albuquerque-Santa Fe, NM",50000
"Yuma, AZ-El Centro, CA",0
"Los Angeles, CA",900000
"San Francisco-Oakland-San Jose, CA",850000
"Sacramento-Stockton-Modesto, CA",0
"Fresno-Visalia, CA",0
"San Diego, CA",250000
"Chico-Redding, CA",0
"Monterey-Salinas, CA",20000
"Eureka, CA",0
"Santa Barbara-Santa Maria-San Luis Obispo, CA",30000
"Bakersfield, CA",0
"Reno, NV",0
"Palm Springs, CA",50000
"Medford-Klamath Falls, OR",0
